"GEO_ID","POPGROUP","POPGROUP_TTL","NAME","B19013_001E","B19013_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)"
"0500000US19163","004","Black or African American alone","Scott County, Iowa","25384","3250"
"0500000US19023","002","White alone","Butler County, Iowa","47894","2254"
"0500000US19129","002","White alone","Mills County, Iowa","60560","4387"
"0500000US19165","002","White alone","Shelby County, Iowa","44113","2612"
"0500000US19021","002","White alone","Buena Vista County, Iowa","44019","1831"
"0500000US19057","002","White alone","Des Moines County, Iowa","43160","1806"
"0500000US19083","002","White alone","Hardin County, Iowa","44894","2194"
"0500000US19161","002","White alone","Sac County, Iowa","42949","2730"
"0500000US19037","002","White alone","Chickasaw County, Iowa","41649","3029"
"0500000US19105","002","White alone","Jones County, Iowa","47566","3355"
"0500000US19127","002","White alone","Marshall County, Iowa","47181","2261"
"0500000US19051","002","White alone","Davis County, Iowa","46759","3031"
"0500000US19069","002","White alone","Franklin County, Iowa","45647","3531"
"0500000US19087","002","White alone","Henry County, Iowa","42480","1967"
"0500000US19085","002","White alone","Harrison County, Iowa","51455","1961"
"0500000US19111","004","Black or African American alone","Lee County, Iowa","32212","9110"
"0500000US19115","070","Some other race alone","Louisa County, Iowa","52100","12254"
"0500000US19169","004","Black or African American alone","Story County, Iowa","26913","13355"
"0500000US19177","002","White alone","Van Buren County, Iowa","40267","3036"
"0500000US19011","002","White alone","Benton County, Iowa","55087","2392"
"0500000US19143","002","White alone","Osceola County, Iowa","44745","5510"
"0500000US19153","006","American Indian and Alaska Native alone (300, A01-Z99)","Polk County, Iowa","40982","11630"
"0500000US19151","002","White alone","Pocahontas County, Iowa","42340","2712"
