"GEO_ID","POPGROUP","POPGROUP_LABEL","NAME","B19013_001E","B19013_001M"
"id","Race/Ethnic Group","Population Groups","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)"
"0500000US19165","002","White alone","Shelby County, Iowa","50645","2802"
"0500000US19167","002","White alone","Sioux County, Iowa","62970","1886"
"0500000US19167","070","Some other race alone","Sioux County, Iowa","34846","6552"
"0500000US19169","002","White alone","Story County, Iowa","52279","1389"
"0500000US19169","004","Black or African American alone","Story County, Iowa","null","null"
"0500000US19169","012","Asian alone (400-499)","Story County, Iowa","21900","7043"
"0500000US19171","006","American Indian and Alaska Native alone (300, A01-Z99)","Tama County, Iowa","41625","7769"
"0500000US19171","002","White alone","Tama County, Iowa","55770","2435"
"0500000US19173","002","White alone","Taylor County, Iowa","45298","2956"
"0500000US19175","002","White alone","Union County, Iowa","44797","2806"
"0500000US19177","002","White alone","Van Buren County, Iowa","45472","2696"
"0500000US19179","004","Black or African American alone","Wapello County, Iowa","21957","21914"
"0500000US19179","002","White alone","Wapello County, Iowa","42455","1689"
"0500000US19179","070","Some other race alone","Wapello County, Iowa","48750","28272"
"0500000US19181","002","White alone","Warren County, Iowa","64813","1997"
"0500000US19183","002","White alone","Washington County, Iowa","57218","2311"
"0500000US19185","002","White alone","Wayne County, Iowa","43535","2858"
"0500000US19187","004","Black or African American alone","Webster County, Iowa","null","null"
"0500000US19187","002","White alone","Webster County, Iowa","42477","1693"
"0500000US19189","002","White alone","Winnebago County, Iowa","47878","2761"
"0500000US19191","002","White alone","Winneshiek County, Iowa","54119","2492"
"0500000US19193","012","Asian alone (400-499)","Woodbury County, Iowa","47180","10658"
"0500000US19193","070","Some other race alone","Woodbury County, Iowa","38468","5754"
"0500000US19193","002","White alone","Woodbury County, Iowa","47648","2219"
"0500000US19193","004","Black or African American alone","Woodbury County, Iowa","38203","20946"
"0500000US19193","006","American Indian and Alaska Native alone (300, A01-Z99)","Woodbury County, Iowa","22465","6417"
"0500000US19195","002","White alone","Worth County, Iowa","49419","2654"
"0500000US19197","002","White alone","Wright County, Iowa","44444","4105"
